algoritmo,n,tipo,dominio,muestra,tiempo_ms,memoria_kb,maquina
mergesort,100000,ascendente,D7,b,3.899020,0,fcarrasco
quicksort,100000,ascendente,D7,b,2.197659,0,fcarrasco
patiencesort,100000,ascendente,D7,b,13.777790,0,fcarrasco
stdsort,100000,ascendente,D7,b,0.614888,0,fcarrasco
mergesort,100000,ascendente,D7,c,3.870485,0,fcarrasco
quicksort,100000,ascendente,D7,c,2.107314,0,fcarrasco
patiencesort,100000,ascendente,D7,c,13.714556,0,fcarrasco
stdsort,100000,ascendente,D7,c,0.614870,0,fcarrasco
mergesort,100000,descendente,D1,a,3.898964,0,fcarrasco
quicksort,100000,descendente,D1,a,234.887175,0,fcarrasco
patiencesort,100000,descendente,D1,a,2.548627,0,fcarrasco
stdsort,100000,descendente,D1,a,0.572544,0,fcarrasco
mergesort,100000,descendente,D1,b,3.881589,0,fcarrasco
quicksort,100000,descendente,D1,b,233.915261,0,fcarrasco
patiencesort,100000,descendente,D1,b,2.553477,0,fcarrasco
stdsort,100000,descendente,D1,b,0.572757,0,fcarrasco
mergesort,100000,descendente,D1,c,3.991777,0,fcarrasco
quicksort,100000,descendente,D1,c,233.747293,0,fcarrasco
patiencesort,100000,descendente,D1,c,2.554547,0,fcarrasco
stdsort,100000,descendente,D1,c,0.572296,0,fcarrasco
mergesort,100000,descendente,D7,a,3.759668,0,fcarrasco
quicksort,100000,descendente,D7,a,2.485672,0,fcarrasco
patiencesort,100000,descendente,D7,a,2.524556,0,fcarrasco
stdsort,100000,descendente,D7,a,0.467760,0,fcarrasco
mergesort,100000,descendente,D7,b,3.757644,0,fcarrasco
quicksort,100000,descendente,D7,b,2.466576,0,fcarrasco
patiencesort,100000,descendente,D7,b,2.552852,0,fcarrasco
stdsort,100000,descendente,D7,b,0.467357,0,fcarrasco
mergesort,100000,descendente,D7,c,3.863065,0,fcarrasco
quicksort,100000,descendente,D7,c,2.511226,0,fcarrasco
patiencesort,100000,descendente,D7,c,2.485027,0,fcarrasco
stdsort,100000,descendente,D7,c,0.464935,0,fcarrasco
mergesort,1000,aleatorio,D1,a,0.038529,0,fcarrasco
quicksort,1000,aleatorio,D1,a,0.040483,0,fcarrasco
patiencesort,1000,aleatorio,D1,a,0.038099,0,fcarrasco
stdsort,1000,aleatorio,D1,a,0.006128,0,fcarrasco
mergesort,1000,aleatorio,D1,b,0.038792,0,fcarrasco
quicksort,1000,aleatorio,D1,b,0.040491,0,fcarrasco
patiencesort,1000,aleatorio,D1,b,0.036154,0,fcarrasco
stdsort,1000,aleatorio,D1,b,0.006081,0,fcarrasco
mergesort,1000,aleatorio,D1,c,0.038309,0,fcarrasco
quicksort,1000,aleatorio,D1,c,0.040667,0,fcarrasco
patiencesort,1000,aleatorio,D1,c,0.036254,0,fcarrasco
stdsort,1000,aleatorio,D1,c,0.006047,0,fcarrasco
mergesort,1000,aleatorio,D7,a,0.039216,0,fcarrasco
quicksort,1000,aleatorio,D7,a,0.012315,0,fcarrasco
patiencesort,1000,aleatorio,D7,a,0.048171,0,fcarrasco
stdsort,1000,aleatorio,D7,a,0.008288,0,fcarrasco
mergesort,1000,aleatorio,D7,b,0.039118,0,fcarrasco
quicksort,1000,aleatorio,D7,b,0.012189,0,fcarrasco
patiencesort,1000,aleatorio,D7,b,0.046909,0,fcarrasco
stdsort,1000,aleatorio,D7,b,0.008287,0,fcarrasco
mergesort,1000,aleatorio,D7,c,0.039645,0,fcarrasco
quicksort,1000,aleatorio,D7,c,0.012795,0,fcarrasco
patiencesort,1000,aleatorio,D7,c,0.047189,0,fcarrasco
stdsort,1000,aleatorio,D7,c,0.008296,0,fcarrasco
mergesort,1000,ascendente,D1,a,0.035358,0,fcarrasco
quicksort,1000,ascendente,D1,a,0.039913,0,fcarrasco
patiencesort,1000,ascendente,D1,a,0.034834,0,fcarrasco
stdsort,1000,ascendente,D1,a,0.004692,0,fcarrasco
mergesort,1000,ascendente,D1,b,0.034117,0,fcarrasco
quicksort,1000,ascendente,D1,b,0.040952,0,fcarrasco
patiencesort,1000,ascendente,D1,b,0.034822,0,fcarrasco
stdsort,1000,ascendente,D1,b,0.004720,0,fcarrasco
mergesort,1000,ascendente,D1,c,0.034063,0,fcarrasco
quicksort,1000,ascendente,D1,c,0.039959,0,fcarrasco
patiencesort,1000,ascendente,D1,c,0.034236,0,fcarrasco
stdsort,1000,ascendente,D1,c,0.004666,0,fcarrasco
mergesort,1000,ascendente,D7,a,0.035391,0,fcarrasco
quicksort,1000,ascendente,D7,a,0.011592,0,fcarrasco
patiencesort,1000,ascendente,D7,a,0.061173,0,fcarrasco
stdsort,1000,ascendente,D7,a,0.005082,0,fcarrasco
mergesort,1000,ascendente,D7,b,0.034226,0,fcarrasco
quicksort,1000,ascendente,D7,b,0.011507,0,fcarrasco
patiencesort,1000,ascendente,D7,b,0.060757,0,fcarrasco
stdsort,1000,ascendente,D7,b,0.005081,0,fcarrasco
mergesort,1000,ascendente,D7,c,0.034278,0,fcarrasco
quicksort,1000,ascendente,D7,c,0.011478,0,fcarrasco
patiencesort,1000,ascendente,D7,c,0.060756,0,fcarrasco
stdsort,1000,ascendente,D7,c,0.005114,0,fcarrasco
mergesort,1000,descendente,D1,a,0.034583,0,fcarrasco
quicksort,1000,descendente,D1,a,0.040519,0,fcarrasco
patiencesort,1000,descendente,D1,a,0.022657,0,fcarrasco
stdsort,1000,descendente,D1,a,0.004725,0,fcarrasco
mergesort,1000,descendente,D1,b,0.034519,0,fcarrasco
quicksort,1000,descendente,D1,b,0.040470,0,fcarrasco
patiencesort,1000,descendente,D1,b,0.022623,0,fcarrasco
stdsort,1000,descendente,D1,b,0.004748,0,fcarrasco
mergesort,1000,descendente,D1,c,0.034489,0,fcarrasco
quicksort,1000,descendente,D1,c,0.039846,0,fcarrasco
patiencesort,1000,descendente,D1,c,0.021966,0,fcarrasco
stdsort,1000,descendente,D1,c,0.004822,0,fcarrasco
mergesort,1000,descendente,D7,a,0.033051,0,fcarrasco
quicksort,1000,descendente,D7,a,0.011825,0,fcarrasco
patiencesort,1000,descendente,D7,a,0.022298,0,fcarrasco
stdsort,1000,descendente,D7,a,0.004254,0,fcarrasco
mergesort,1000,descendente,D7,b,0.033096,0,fcarrasco
quicksort,1000,descendente,D7,b,0.011481,0,fcarrasco
patiencesort,1000,descendente,D7,b,0.022107,0,fcarrasco
stdsort,1000,descendente,D7,b,0.004295,0,fcarrasco
mergesort,1000,descendente,D7,c,0.033047,0,fcarrasco
quicksort,1000,descendente,D7,c,0.011497,0,fcarrasco
patiencesort,1000,descendente,D7,c,0.021938,0,fcarrasco
stdsort,1000,descendente,D7,c,0.004246,0,fcarrasco
mergesort,10,aleatorio,D1,a,0.001689,0,fcarrasco
quicksort,10,aleatorio,D1,a,0.002604,0,fcarrasco
patiencesort,10,aleatorio,D1,a,0.001741,0,fcarrasco
stdsort,10,aleatorio,D1,a,0.001381,0,fcarrasco
mergesort,10,aleatorio,D1,b,0.001695,0,fcarrasco
quicksort,10,aleatorio,D1,b,0.002622,0,fcarrasco
patiencesort,10,aleatorio,D1,b,0.001842,0,fcarrasco
stdsort,10,aleatorio,D1,b,0.001379,0,fcarrasco
mergesort,10,aleatorio,D1,c,0.001694,0,fcarrasco
quicksort,10,aleatorio,D1,c,0.002621,0,fcarrasco
patiencesort,10,aleatorio,D1,c,0.001815,0,fcarrasco
stdsort,10,aleatorio,D1,c,0.001379,0,fcarrasco
mergesort,10,aleatorio,D7,a,0.001696,0,fcarrasco
quicksort,10,aleatorio,D7,a,0.002625,0,fcarrasco
patiencesort,10,aleatorio,D7,a,0.001857,0,fcarrasco
stdsort,10,aleatorio,D7,a,0.001385,0,fcarrasco
mergesort,10,aleatorio,D7,b,0.001700,0,fcarrasco
quicksort,10,aleatorio,D7,b,0.002606,0,fcarrasco
patiencesort,10,aleatorio,D7,b,0.001863,0,fcarrasco
stdsort,10,aleatorio,D7,b,0.001371,0,fcarrasco
mergesort,10,aleatorio,D7,c,0.001691,0,fcarrasco
quicksort,10,aleatorio,D7,c,0.002617,0,fcarrasco
patiencesort,10,aleatorio,D7,c,0.001855,0,fcarrasco
